regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_vvl_activating_regulon	vvl	-0.0566224840016823	6.29645597925922e-18	0.00320610569452077	FBgn0086680	FALSE	TRUE
SCENIC_CG4707_activating_regulon	CG4707	-0.0608161575663609	1.91227994485761e-20	0.00369860502113644	FBgn0035036	FALSE	TRUE
SCENIC_rgr_activating_regulon	rgr	-0.0620450832118093	3.23802534135766e-21	0.00384959235076034	FBgn0267792	FALSE	TRUE
SCENIC_CG11970_activating_regulon	CG11970	-0.0635225531892868	3.65489898367853e-22	0.00403511476368577	FBgn0027503	FALSE	TRUE
SCENIC_Clk_activating_regulon	Clk	-0.0642382162395691	1.24753525061631e-22	0.00412654842564164	FBgn0023076	FALSE	TRUE
SCENIC_fd96Ca_activating_regulon	fd96Ca	-0.0653249937706402	2.3837980621593e-23	0.00426735481113418	FBgn0004897	FALSE	TRUE
SCENIC_fd96Cb_activating_regulon	fd96Cb	-0.0653823784512773	2.18265130238379e-23	0.00427485541194605	FBgn0004898	FALSE	TRUE
SCENIC_sv_activating_regulon	sv	-0.0696200187997304	2.62892527331173e-26	0.00484694701767481	FBgn0005561	FALSE	TRUE
SCENIC_CG4730_activating_regulon	CG4730	-0.071119392760389	2.20476394734365e-27	0.00505796802660647	FBgn0039355	FALSE	TRUE
SCENIC_CG17359_activating_regulon	CG17359	-0.0716006849488152	9.84025529109453e-28	0.00512665808513949	FBgn0036396	FALSE	TRUE
SCENIC_CG6654_activating_regulon	CG6654	-0.0716809780112123	8.59663654771567e-28	0.0051381626086439	FBgn0038301	FALSE	TRUE
SCENIC_CG42741_activating_regulon	CG42741	-0.0731540309220789	7.01813971773202e-29	0.00535151224014847	FBgn0261705	FALSE	TRUE
SCENIC_bs_activating_regulon	bs	-0.073370982315355	4.83175708203639e-29	0.00538330104592013	FBgn0004101	FALSE	TRUE
SCENIC_dwg_activating_regulon	dwg	-0.0737380844584652	2.56271079616037e-29	0.00543730509960375	FBgn0000520	FALSE	TRUE
SCENIC_sna_activating_regulon	sna	-0.0744405851790497	7.54844676884694e-30	0.00554140072179935	FBgn0003448	FALSE	TRUE
SCENIC_Spps_activating_regulon	Spps	-0.0749792358377207	2.93381216418289e-30	0.00562188580680854	FBgn0039169	FALSE	TRUE
SCENIC_elB_activating_regulon	elB	-0.0770366942055296	7.45759791428411e-32	0.00593465225411628	FBgn0004858	FALSE	TRUE
SCENIC_D_activating_regulon	D	-0.0801982072554505	2.17763838686457e-34	0.0064317524469882	FBgn0000411	FALSE	TRUE
SCENIC_NC2alpha_activating_regulon	NC2alpha	-0.0804489255200171	1.35713664082038e-34	0.00647202961732526	FBgn0034650	FALSE	TRUE
SCENIC_CG4374_activating_regulon	CG4374	-0.0805728151941923	1.07376552262183e-34	0.00649197854831746	FBgn0039078	FALSE	TRUE
SCENIC_CkIIalpha-i1_activating_regulon	CkIIalpha-i1	-0.08089608383358	5.81790829835848e-35	0.00654417637960961	FBgn0015025	FALSE	TRUE
SCENIC_CG4328_activating_regulon	CG4328	-0.0809710419692812	5.04548160396637e-35	0.0065563096375911	FBgn0036274	FALSE	TRUE
