p_val	avg_diff	p_val_adj	regulon	gene
0	0.0117983031309556	0	SCENIC_CEBPA_activating_regulon	CEBPA
0	0.0114110219746696	0	SCENIC_KLF2_activating_regulon	KLF2
0	0.0112995902053016	0	SCENIC_TAL2_activating_regulon	TAL2
0	0.011245609790043	0	SCENIC_ID1_activating_regulon	ID1
0	0.0110427663675316	0	SCENIC_KLF6_activating_regulon	KLF6
0	0.0108968139743928	0	SCENIC_ACAA1_activating_regulon	ACAA1
0	0.0103035591626158	0	SCENIC_CCDC25_activating_regulon	CCDC25
0	0.0101623383454437	0	SCENIC_IKZF5_activating_regulon	IKZF5
0	0.00991141402223435	0	SCENIC_ZNF32_activating_regulon	ZNF32
0	0.00961114906189369	0	SCENIC_ZBTB45_activating_regulon	ZBTB45
0	0.00896910756879342	0	SCENIC_MRPS25_activating_regulon	MRPS25
0	0.00874184110274788	0	SCENIC_TBX20_activating_regulon	TBX20
0	0.00861322077470713	0	SCENIC_CENPB_activating_regulon	CENPB
0	0.00751536786719236	0	SCENIC_ZDHHC24_activating_regulon	ZDHHC24
0	0.00727941168940993	0	SCENIC_FOXQ1_activating_regulon	FOXQ1
0	-0.00640500571857011	0	SCENIC_HMGB1_activating_regulon	HMGB1
0	-0.00683895212053026	0	SCENIC_HHAT_activating_regulon	HHAT
0	-0.00711382523900202	0	SCENIC_SP100_activating_regulon	SP100
0	-0.00726582930115486	0	SCENIC_SRBD1_activating_regulon	SRBD1
0	-0.00727527591259175	0	SCENIC_ZNF100_activating_regulon	ZNF100
0	-0.00735398307283202	0	SCENIC_ZNF789_activating_regulon	ZNF789
0	-0.00780310927913708	0	SCENIC_PBX4_activating_regulon	PBX4
0	-0.00796496763088115	0	SCENIC_MAF_activating_regulon	MAF
0	-0.00813586792318798	0	SCENIC_TP63_activating_regulon	TP63
0	-0.00823662889732161	0	SCENIC_NFYC_activating_regulon	NFYC
0	-0.00828875980357005	0	SCENIC_ESR1_activating_regulon	ESR1
0	-0.0083623245216335	0	SCENIC_DIDO1_activating_regulon	DIDO1
0	-0.00838421915978308	0	SCENIC_ZNF592_activating_regulon	ZNF592
0	-0.00854676660819207	0	SCENIC_RFC3_activating_regulon	RFC3
0	-0.00860215450665641	0	SCENIC_DR1_activating_regulon	DR1
0	-0.00861225840627517	0	SCENIC_ADNP_activating_regulon	ADNP
0	-0.00862845291497032	0	SCENIC_HIST1H2BN_activating_regulon	HIST1H2BN
0	-0.00864413857278398	0	SCENIC_NFATC1_activating_regulon	NFATC1
0	-0.00866030605737408	0	SCENIC_ZBTB37_activating_regulon	ZBTB37
0	-0.00878249739820146	0	SCENIC_TEAD4_activating_regulon	TEAD4
0	-0.00910018011275087	0	SCENIC_PPARD_activating_regulon	PPARD
0	-0.00918525606551376	0	SCENIC_NR3C1_activating_regulon	NR3C1
0	-0.00923510947630803	0	SCENIC_AHDC1_activating_regulon	AHDC1
0	-0.00925085924320653	0	SCENIC_CTCF_activating_regulon	CTCF
0	-0.00930563057209131	0	SCENIC_ZNF600_activating_regulon	ZNF600
0	-0.00995031344593112	0	SCENIC_ZIC1_activating_regulon	ZIC1
